corp,lemma,n,max_share,n_pred_used,agree,assign_ari,null_ari,text_ari,delta,img_minus_text,gold_max_share,quad
semcor,action,114,0.587719,2,0.07119,-0.013184,0.00366,0.110594,-0.016844,-0.123777,0.754386,spread+disagree
semcor,activity,92,1.0,1,0.0,0.0,0.013937,0.538273,-0.013937,-0.538273,0.467391,collapsed
semcor,area,208,0.663462,2,0.027683,-0.051864,0.091276,0.198458,-0.14314,-0.250323,0.697115,spread+disagree
semcor,art,64,0.984375,2,0.01773,-0.021192,-0.004691,0.191524,-0.016501,-0.212716,0.765625,collapsed
semcor,back,43,1.0,1,0.0,0.0,0.031397,0.135287,-0.031397,-0.135287,0.790698,collapsed
semcor,board,44,0.977273,2,0.033919,0.033919,0.277913,1.0,-0.243994,-0.966081,0.636364,collapsed
semcor,body,95,0.978947,2,0.351952,0.351952,0.082398,1.0,0.269554,-0.648048,0.915789,collapsed
semcor,book,56,0.607143,3,0.056445,0.024348,-0.013783,0.144052,0.038131,-0.119704,0.821429,spread+disagree
semcor,case,127,0.858268,6,-0.004104,-0.036247,0.002502,0.118669,-0.038749,-0.154916,0.503937,collapsed
semcor,cell,115,0.495652,3,0.606358,0.578547,0.072433,0.332861,0.506114,0.245685,0.617391,spread+agree
semcor,center,64,0.4375,4,-0.018483,0.22088,0.102419,-0.022486,0.118461,0.243366,0.84375,spread+disagree
semcor,corner,51,0.980392,2,0.000232,0.007816,0.053933,0.605021,-0.046118,-0.597205,0.333333,collapsed
semcor,country,109,0.981651,2,-0.001123,0.000298,0.032313,0.238696,-0.032016,-0.238398,0.587156,collapsed
semcor,course,94,0.617021,2,0.724742,0.653081,0.07645,0.77493,0.576631,-0.121848,0.648936,spread+agree
semcor,door,131,1.0,1,0.0,0.0,0.01521,-0.015786,-0.01521,0.015786,0.740458,collapsed
semcor,earth,70,0.914286,3,0.001945,-0.07231,0.054767,0.375612,-0.127077,-0.447922,0.571429,collapsed
semcor,element,44,0.636364,3,0.112391,0.115685,0.041799,0.475836,0.073886,-0.360151,0.772727,spread+agree
semcor,face,135,1.0,1,0.0,0.0,-0.031873,0.03462,0.031873,-0.03462,0.844444,collapsed
semcor,field,93,0.978495,2,-0.007476,0.008835,0.038065,0.418496,-0.02923,-0.409661,0.215054,collapsed
semcor,figure,159,0.679245,2,0.019882,0.058227,0.081595,0.555693,-0.023368,-0.497466,0.408805,spread+disagree
semcor,film,54,1.0,1,0.0,0.0,-0.004767,0.207216,0.004767,-0.207216,0.703704,collapsed
semcor,floor,52,0.346154,3,0.305879,0.360322,0.071138,0.921397,0.289184,-0.561074,0.692308,spread+agree
semcor,foot,141,1.0,1,0.0,0.0,0.032031,1.0,-0.032031,-1.0,0.560284,collapsed
semcor,form,209,1.0,1,0.0,0.0,0.036578,0.553982,-0.036578,-0.553982,0.45933,collapsed
semcor,game,76,0.960526,2,0.027116,0.027972,-0.001036,0.05553,0.029008,-0.027557,0.486842,collapsed
semcor,ground,49,0.612245,4,0.389368,0.389368,0.089198,1.0,0.300169,-0.610632,0.77551,spread+agree
semcor,head,161,0.919255,3,0.361312,0.361312,0.044407,1.0,0.316906,-0.638688,0.869565,collapsed
semcor,heart,60,1.0,1,0.0,0.0,0.028006,0.496348,-0.028006,-0.496348,0.483333,collapsed
semcor,home,101,1.0,1,0.0,0.0,0.00544,0.02249,-0.00544,-0.02249,0.485149,collapsed
semcor,image,46,1.0,1,0.0,0.0,0.012703,0.241795,-0.012703,-0.241795,0.630435,collapsed
semcor,land,49,0.653061,2,-0.044781,-0.019029,-0.003119,0.231556,-0.015911,-0.250586,0.44898,spread+disagree
semcor,level,106,0.481132,3,0.127223,0.211013,0.002287,0.10684,0.208726,0.104173,0.650943,spread+agree
semcor,light,77,0.61039,2,0.092097,0.053338,0.041551,0.354165,0.011787,-0.300827,0.441558,spread+disagree
semcor,line,89,0.640449,7,0.029102,0.012484,0.05019,0.403916,-0.037706,-0.391432,0.224719,spread+disagree
semcor,man,566,0.962898,3,-0.001646,0.100432,-0.007794,0.093295,0.108226,0.007137,0.757951,collapsed
semcor,material,107,0.971963,2,-0.026337,-0.027412,0.049033,0.62234,-0.076446,-0.649752,0.682243,collapsed
semcor,matter,56,0.946429,2,-0.059484,0.007821,0.001873,0.031766,0.005948,-0.023945,0.5,collapsed
semcor,means,58,0.568966,2,-0.005396,-0.007339,-0.020512,-0.025631,0.013173,0.018291,0.810345,spread+disagree
semcor,mouth,41,1.0,1,0.0,0.0,-0.042341,0.138648,0.042341,-0.138648,0.756098,collapsed
semcor,officer,71,0.408451,3,0.086131,0.258086,0.048659,0.351621,0.209427,-0.093535,0.56338,spread+disagree
semcor,paper,62,0.870968,4,0.051772,0.164106,0.042202,0.489898,0.121903,-0.325792,0.467742,collapsed
semcor,part,188,0.547872,4,0.042032,0.036615,0.008878,0.131892,0.027737,-0.095276,0.5,spread+disagree
semcor,picture,71,0.492958,3,0.059802,0.080028,0.01218,0.239217,0.067848,-0.159189,0.352113,spread+disagree
semcor,place,129,0.728682,3,0.002018,0.015675,-0.000747,0.169332,0.016422,-0.153657,0.395349,spread+disagree
semcor,plant,99,0.545455,2,0.806235,0.666088,0.069639,0.843056,0.596449,-0.176968,0.636364,spread+agree
semcor,point,118,0.822034,4,0.028575,0.008667,0.039274,0.683885,-0.030607,-0.675218,0.432203,collapsed
semcor,position,76,0.881579,3,0.002361,-0.000621,0.0264,0.752787,-0.027021,-0.753408,0.355263,collapsed
semcor,product,81,0.950617,2,-0.067265,-0.02317,-0.002138,0.444268,-0.021032,-0.467438,0.617284,collapsed
semcor,property,56,1.0,1,0.0,0.0,0.002294,0.928565,-0.002294,-0.928565,0.535714,collapsed
semcor,range,52,1.0,1,0.0,0.0,0.036535,-0.057866,-0.036535,0.057866,0.807692,collapsed
semcor,section,95,0.684211,2,0.12888,0.271436,0.106899,0.63569,0.164537,-0.364254,0.452632,spread+agree
semcor,side,129,0.573643,4,0.014328,0.020673,-0.018452,0.263831,0.039125,-0.243158,0.589147,spread+disagree
semcor,situation,83,1.0,1,0.0,0.0,-0.028838,0.042191,0.028838,-0.042191,0.771084,collapsed
semcor,space,43,0.906977,2,0.036971,0.107846,0.053034,0.237868,0.054812,-0.130022,0.511628,collapsed
semcor,stage,57,1.0,1,0.0,0.0,0.026352,0.451988,-0.026352,-0.451988,0.438596,collapsed
semcor,state,190,0.984211,2,0.007551,0.02102,0.013746,0.3234,0.007274,-0.302381,0.568421,collapsed
semcor,study,100,1.0,1,0.0,0.0,0.070315,0.508197,-0.070315,-0.508197,0.85,collapsed
semcor,surface,136,0.639706,3,0.32572,0.051363,0.06448,0.174833,-0.013117,-0.12347,0.654412,spread+agree
semcor,system,98,1.0,1,0.0,0.0,0.030985,0.22581,-0.030985,-0.22581,0.438776,collapsed
semcor,table,77,0.87013,2,-0.012623,-0.012623,0.022013,1.0,-0.034636,-1.012623,0.675325,collapsed
semcor,thing,264,0.916667,2,-0.000412,-0.00231,0.006583,0.09479,-0.008893,-0.0971,0.19697,collapsed
semcor,water,166,0.879518,2,-0.021853,0.103734,0.009075,-0.031602,0.094659,0.135337,0.759036,collapsed
semcor,work,199,0.98995,2,0.004985,-0.001457,0.015294,0.319696,-0.016751,-0.321153,0.432161,collapsed
semcor,yard,46,1.0,1,0.0,0.0,0.102039,1.0,-0.102039,-1.0,0.73913,collapsed
dwug_en,ball,171,0.467836,4,-0.023089,-0.027075,0.199711,0.893194,-0.226786,-0.920269,0.807018,spread+disagree
dwug_en,bar,116,0.586207,4,0.273011,0.403675,0.251964,0.474165,0.151711,-0.07049,0.482759,spread+agree
dwug_en,bit,177,0.915254,2,0.210488,0.256535,0.038175,0.104984,0.21836,0.151551,0.768362,collapsed
dwug_en,edge,167,0.868263,2,0.111141,-0.06023,0.010853,-0.005759,-0.071083,-0.054471,0.952096,collapsed
dwug_en,face,193,0.994819,2,-0.00899,0.183979,0.090538,0.572705,0.093441,-0.388726,0.953368,collapsed
dwug_en,grain,162,0.580247,3,0.211363,0.107016,0.137488,0.711767,-0.030471,-0.604751,0.82716,spread+agree
dwug_en,head,187,0.802139,6,0.221599,0.675142,0.16608,0.320755,0.509062,0.354387,0.860963,collapsed
dwug_en,land,181,0.646409,3,0.033136,0.103898,0.16391,-0.045482,-0.060012,0.14938,0.933702,spread+disagree
dwug_en,part,172,0.488372,4,0.110387,0.079494,0.006092,0.206234,0.073402,-0.12674,0.883721,spread+agree
dwug_en,plane,182,0.532967,2,0.698071,0.678375,0.178881,0.716163,0.499494,-0.037788,0.489011,spread+agree
dwug_en,rag,165,0.993939,2,0.000449,-0.010454,0.015238,0.004695,-0.025693,-0.015149,0.945455,collapsed
dwug_en,twist,167,1.0,1,0.0,0.0,0.017902,0.466955,-0.017902,-0.466955,0.473054,collapsed
semeval2013,control,75,0.773333,2,0.202415,0.176641,-0.00267,0.3075,0.17931,-0.13086,0.56,spread+agree
semeval2013,image,75,0.893333,2,0.038849,0.035254,0.033399,0.583267,0.001855,-0.548013,0.533333,collapsed
semeval2013,paper,77,0.532468,3,0.455946,0.588294,0.063029,0.672443,0.525265,-0.084149,0.584416,spread+agree
semeval2013,part,68,0.75,4,0.063352,0.425049,0.134372,0.111952,0.290677,0.313096,0.882353,spread+disagree
semeval2013,state,91,0.978022,2,0.016817,0.019907,0.031354,0.311189,-0.011448,-0.291282,0.714286,collapsed
semeval2013,window,66,1.0,1,0.0,0.0,0.0,0.000707,0.0,-0.000707,0.818182,collapsed
semeval2010,body,181,0.994475,2,0.00687,0.006547,0.105306,0.929135,-0.098759,-0.922589,0.430939,collapsed
semeval2010,cell,69,0.826087,2,0.928419,0.928419,0.427721,1.0,0.500697,-0.071581,0.84058,collapsed
semeval2010,chip,106,0.990566,2,-0.004401,-0.007418,0.077838,0.536915,-0.085256,-0.544333,0.622642,collapsed
semeval2010,community,189,0.751323,2,0.218995,0.104625,0.016472,0.3592,0.088153,-0.254575,0.433862,spread+agree
semeval2010,field,143,0.944056,2,0.0547,0.049035,0.044309,0.439055,0.004726,-0.390019,0.552448,collapsed
semeval2010,foundation,48,1.0,1,0.0,0.0,0.001535,1.0,-0.001535,-1.0,0.75,collapsed
semeval2010,gap,45,1.0,1,0.0,0.0,-0.010221,-0.023198,0.010221,0.023198,0.688889,collapsed
semeval2010,gas,117,1.0,1,0.0,0.0,0.050697,0.819659,-0.050697,-0.819659,0.752137,collapsed
