lemma,n,img,lbl,img_cal,lbl_cal,maxfuse
body,181,0.013403,0.0,0.321676,0.413228,0.616625
cell,69,0.928419,0.605135,0.241145,0.115855,0.928419
chip,106,-0.007418,-0.010125,-0.013817,-0.008062,-0.01409
community,189,0.084229,0.0,0.135912,0.099841,0.0
field,143,0.034069,0.015036,0.087057,0.162723,0.031583
foundation,48,0.0,0.0,-0.010772,0.123432,0.0
gap,45,0.0,0.0,0.040534,-0.007342,0.0
gas,117,0.0,0.0,0.004832,0.237785,0.0
house,150,0.040443,0.0,0.133388,0.252885,0.0
market,862,0.000441,0.0,0.006191,0.089765,0.0
movement,58,-0.014358,0.0,-0.01042,0.01355,0.0
officer,187,0.367503,0.428107,0.169968,0.396193,0.449698
park,41,0.049039,0.042859,0.040508,0.070295,0.049039
television,161,0.00185,0.025765,0.00809,0.024277,0.015893
