lemma,n,gold_k,grounded,q1_all,q1_nam,ctl_all,ctl_nam,ari_text_o,ari_merge_o,ari_text_u,ari_merge_u,gain_nam
ball,171,2,5,0.0,,0.0,,0.8931943023760957,0.0,0.8931943023760957,0.0,
bar,116,6,5,0.0,,0.0,,0.47416526699690503,0.5468676024544976,0.7611159311236901,0.38096946548719307,
bit,177,3,2,0.0,,0.0,,0.10498377497547384,0.2793005350794804,0.10498377497547384,0.2793005350794804,
edge,167,2,3,0.0,,0.0,,-0.005758687339759575,0.0,0.09271109109655166,0.0,
face,193,2,3,0.0,,0.0,,0.572705394682161,0.0,0.572705394682161,0.0,
grain,162,3,4,0.0,,0.0,,0.7117673896068301,0.7013477778420935,0.7053764165189959,0.7053764165189959,
head,187,3,9,0.0,,0.0,,0.320754869889968,0.898302133349245,0.898302133349245,0.898302133349245,
land,181,2,5,0.0,,0.0,,-0.04548238799548662,0.0,0.2284237042376665,0.0,
part,172,2,4,0.0,,0.0,,0.2009252952623745,0.0,0.20357964232023495,0.0,
plane,182,4,3,0.0,,0.0,,0.7161629398430475,0.7399909950451493,0.7631498459198119,0.7399909950451493,
rag,165,2,2,0.0,,0.0,,0.004694883472297917,0.0,0.004694883472297917,0.0,
twist,167,4,2,0.0,,0.0,,0.4669549327523767,0.0,0.4669549327523767,0.0,
