lemma,n,gold_k,grounded,q1_all,q1_nam,ctl_all,ctl_nam,ari_text_o,ari_merge_o,ari_text_u,ari_merge_u,gain_nam
action,114,3,3,0.5701754385964912,0.7558139534883721,0.7543859649122807,1.0,0.11059389991280391,0.0,0.13761482136919917,0.06434051185671849,0.2441860465116279
activity,92,3,2,0.4673913043478261,1.0,0.46739130434782605,1.0,0.5382729958720883,0.0,0.5691038486995614,0.0,0.0
area,208,5,2,0.32211538461538464,0.43790849673202614,0.1504807692307692,0.2045751633986928,0.19845845541263843,-0.08412475652652965,0.25355839206644937,-0.09438428165690343,-0.23333333333333334
art,64,2,2,0.03125,0.04081632653061224,0.0,0.0,0.19152421065472197,0.0,0.19152421065472197,0.0,-0.04081632653061224
back,43,2,3,0.0,,0.0,,0.13528683815079995,0.0,0.2198121284971187,0.0,
board,44,2,8,0.022727272727272728,0.0625,0.0,0.0,1.0,0.0,1.0,0.0,-0.0625
body,95,2,4,0.0,,0.0,,1.0,0.0,1.0,0.0,
book,56,2,4,0.125,0.125,0.0,0.0,0.14405179577786406,0.0,0.12537932743201666,-0.03700072393541751,-0.125
case,127,4,7,0.0,,0.0,,0.11866927665091662,0.0,0.09181378849051006,0.0,
cell,115,2,4,0.3826086956521739,1.0,0.3826086956521739,1.0,0.3328614876225314,0.3328614876225314,0.3328614876225314,0.3328614876225314,0.0
center,64,2,5,0.0,0.0,0.0,0.0,-0.022486058643640942,0.0,0.23662341449190846,-0.10982658959537572,0.0
corner,51,4,3,0.11764705882352941,0.24,0.13725490196078433,0.27999999999999997,0.6050205493706958,0.16874769115522908,0.5472627143073331,0.17171194414653687,0.03999999999999998
country,109,4,3,0.11009174311926606,0.35294117647058826,0.08256880733944953,0.2647058823529412,0.23869559548653982,0.01058997967387849,0.23659655399222693,0.0,-0.08823529411764708
course,94,4,3,0.0,,0.0,,0.7749297096945741,0.6847039182003275,0.7141681145381312,0.7141681145381312,
door,131,2,3,0.7404580152671756,1.0,0.7404580152671756,1.0,-0.015785606575863195,0.0,-0.006395142534376069,0.0,0.0
earth,70,3,3,0.24285714285714285,0.5666666666666667,0.24285714285714283,0.5666666666666667,0.37561194381060214,0.0,0.4215882910513411,0.0,0.0
element,44,2,3,0.11363636363636363,0.5,0.14090909090909087,0.6199999999999999,0.47583631175447316,0.47583631175447316,0.40173757030280877,0.47583631175447316,0.11999999999999988
